,ind,duration,offset,exponent,N,date,year,month,Ks,CI_low,CI_high,R2,S,S_max,S_min,S_CI_low,S_CI_high,dSdt,dSdt_CI_low,dSdt_CI_high,delta_h,delta_h_min,delta_h_max,Q,Q_min,Q_max,SQ,SQ_min,SQ_max,SQ_CI_low,SQ_CI_high,S_list,Q_list
26,26,11,0.0,1,8,2015-11-16,2015,11,0.591,0.5312179396257602,0.6515369493389255,0.753,1.85,2.878,1.158,1.7793235949344917,2.243389260527658,0.1721505053153879,0.14284332389686405,0.20145768673391173,1.866,1.448,2.025,4.717,4.22,5.128,0.412,0.229,0.682,0.3497277059075233,0.4944473099669765,"[1.1578829120777772, 1.793469154829277, 1.83439390919282, 1.7793235949344917, 1.8650010361372735, 2.243389260527658, 2.0146440752903993, 2.8781835333605876]","[5.061046915666666, 5.128187228333333, 5.047215928666666, 4.777002864666666, 4.641639711666667, 4.537165468, 4.324494501333333, 4.219919788408163]"
22,22,13,0.0,1,7,2015-12-02,2015,12,0.542,0.3083391418383087,0.7766471568403192,0.107,1.952,2.588,0.567,0.6821330232192224,2.3929248317697316,0.2251783180372023,0.10528957035731501,0.3450670657170896,1.561,0.99,2.359,6.244,4.072,9.698,0.262,0.108,0.378,0.1214852453273228,0.3663405518424972,"[1.1788542739519685, 0.566571458343637, 1.9516635478181614, 0.6821330232192224, 2.588484883527883, 2.19736478001158, 2.2805802025045145]","[4.072368793333333, 4.1893024290000005, 6.3382142366666665, 6.331990439999999, 6.852111062666666, 9.69806155, 6.225300996666667]"
21,21,13,0.0,1,12,2016-06-16,2016,6,0.648,0.49234308628549006,0.8039691937059423,-0.265,2.183,3.526,0.964,1.3512934944179378,2.5380038347635367,0.11319381174972017,0.06525242670782956,0.16113519679161076,1.687,0.778,2.175,5.355,4.487,6.213,0.388,0.162,0.641,0.23656488169679374,0.48183353865996176,"[1.3512934944179378, 0.9637265841891196, 1.2838561299847235, 1.6854953525006966, 2.202119673676617, 3.5255173002445632, 2.5380038347635367, 2.3343721193674782, 2.0644106414785877, 2.1640057030917763, 2.230558290694797, 2.5792096283850743]","[5.712147486666667, 5.93528977, 6.212558436666666, 6.043200375333334, 5.782564879, 5.500228685, 5.275186816333333, 5.098077031, 4.857623154, 4.725424993333333, 4.6293130546666665, 4.486513792]"
23,23,12,0.0,1,10,2016-07-02,2016,7,0.685,0.5852746970557389,0.7847824802317253,0.757,1.708,1.918,0.252,0.9673335970233774,1.8891117897650531,0.18283091333230758,0.15196283147600162,0.21369899518861354,1.39,0.784,1.824,3.893,3.542,4.167,0.359,0.069,0.524,0.24925704781281496,0.4916367054189857,"[0.2517526092306692, 0.5241930495346114, 0.9673335970233774, 1.321683627332526, 1.6327544138973367, 1.7825312436373761, 1.8891117897650531, 1.9164357622863346, 1.9178134199959527, 1.7866621607027773]","[3.6527462636666663, 3.8341507636666665, 3.8808675843333336, 4.051272777333334, 4.166775824666667, 4.1364355533333335, 4.101110345333333, 3.8980729899999997, 3.662612898666666, 3.5422075053333333]"
13,13,19,0.0,1,18,2016-09-12,2016,9,0.45,0.37656112963268573,0.5240078392764593,0.055,1.474,2.151,0.133,1.378302171527658,1.7948649519077582,0.06673567445654964,0.05143581947132689,0.08203552944177239,1.63,0.765,2.215,3.694,3.428,3.978,0.389,0.034,0.583,0.37424280866787407,0.4966834420378861,"[0.1326130463740749, 0.6712270457468734, 0.9823930806538219, 1.1097617775726794, 1.4478015647721074, 1.5994543102912013, 1.757968451590163, 1.223365372995258, 1.4347360986795095, 1.8705949257027774, 1.3891884147063687, 1.378302171527658, 2.1512815338114604, 1.8186962253747743, 1.9220220052921204, 1.659637404651977, 1.5001409374484866, 1.7948649519077582]","[3.942282594, 3.9776608959999997, 3.8923919319999993, 3.8364603526666663, 3.747522003333333, 3.6910712826666665, 3.7098370619999996, 3.6937967746666662, 3.6761990633333337, 3.6261402703333334, 3.6631615366666668, 3.6720783790000002, 3.6892483886666674, 3.661680804, 3.5503662833333336, 3.5731052636666667, 3.427527415, 3.4585384405333337]"
32,32,9,0.0,1,6,2016-10-13,2016,10,0.431,0.288902611413437,0.5730322282850118,0.628,1.993,2.837,0.112,0.11158656720312266,2.8367365147225154,0.33353783163980566,0.2470362832178341,0.4200393800617772,1.9,0.823,2.67,6.604,4.14,8.285,0.259,0.027,0.481,0.02695297798057126,0.481418363366437,"[0.11158656720312266, 2.1687429599541748, 1.1749646501999935, 1.8700153440061351, 2.115975539364354, 2.8367365147225154]","[4.140045945333333, 8.284640276666666, 7.469145933333333, 7.3401570099999995, 6.4960862960000005, 5.892455981292308]"
27,27,11,0.0,1,9,2017-07-05,2017,7,0.98,0.8548626292861615,1.1060651531120613,0.763,2.868,3.659,0.794,1.8153900514519106,3.2216370324596646,0.2857558076988587,0.21991607229250348,0.35159554310521396,1.66,1.138,1.911,5.363,4.948,5.932,0.48,0.134,0.708,0.3144589644748126,0.6300458128006023,"[0.7936770737413177, 1.9810884159291708, 1.6496916869746503, 2.8676565881687557, 3.0386115727055563, 2.9460724583123103, 3.658512907428938, 2.849537908259026, 3.404662492213773]","[5.9315436933333325, 5.867122973333333, 5.664008926666667, 5.333649209666667, 5.026892725333334, 4.94785407831579, 5.169338027999999, 5.132782809, 5.193038599666667]"
9,9,23,0.0,1,21,2017-08-06,2017,8,0.822,0.7413569111249796,0.9029420049097412,0.108,3.001,3.873,1.167,2.7016093534186214,3.3577855679262685,0.09027554428967266,0.0786285242697847,0.10192256430956062,1.836,0.976,2.367,4.626,4.233,4.971,0.634,0.259,0.87,0.589450667852272,0.71704964070425,"[1.16707654967859, 2.09081094466076, 2.0444345835273188, 2.404507295148142, 2.179472275338891, 2.9164786209496514, 2.5779083463322996, 3.139368247403704, 3.05837851253923, 2.809544155298152, 3.4792445606943225, 2.9657160408445638, 3.1913300647313596, 2.825310360504943, 3.0005539309527824, 3.3577855679262685, 3.872734361558914, 3.4473854548377356, 3.62513235624954, 3.719027621109954, 3.6735617168280053]","[4.498471740666667, 4.798340753333334, 4.788742538, 4.719950412, 4.584979564666667, 4.641890433333333, 4.562886561333333, 4.636734416, 4.563789159333333, 4.576339991, 4.749172759666666, 4.752662215333333, 4.730451225333333, 4.681855001263158, 4.630764290666667, 4.724607935666667, 4.971309206666667, 4.555220377666667, 4.459412254666666, 4.276960623, 4.2326418813333335]"
10,10,22,0.0,1,21,2017-09-13,2017,9,0.673,0.5993571618496434,0.7463515001994276,0.522,2.75,3.76,0.516,2.147954853948261,3.373807748571587,0.12435276530759956,0.10556559500954818,0.14313993560565094,2.005,0.828,2.39,4.521,4.295,4.985,0.574,0.11,0.87,0.4487855483493614,0.7774289843169002,"[0.5161383286187462, 1.270390308704401, 2.0058645506314856, 2.212442724411571, 2.147954853948261, 2.7498677160372758, 2.707989807744097, 1.0855042065205986, 1.4586318473995363, 2.083975283902197, 2.808199164565508, 3.2899886696522023, 3.2608791591664374, 2.6755756702680573, 2.926142664970942, 3.546113720247341, 3.5479356597346055, 3.486217804582874, 3.4576268274909716, 3.7600152389988395, 3.5141415739112243]","[4.672298547, 4.854484708666667, 4.967654569666667, 4.984700693333333, 4.786149781, 4.7226936020000005, 4.694648171333333, 4.59493174, 4.504258986666667, 4.388319388666667, 4.380830185, 4.373187598666667, 4.348879395666667, 4.3165422, 4.301428108, 4.3746978279999995, 4.379287509333333, 4.320497703, 4.294988985666667, 4.319586256, 4.355861256666667]"
20,20,13,0.0,1,11,2017-10-08,2017,10,0.741,0.6445046990639428,0.8382491692560486,0.832,2.47,3.754,0.163,1.2375684227504635,3.036262243382065,0.28433284108608686,0.24279379713274873,0.325871885039425,1.799,0.869,2.141,4.995,4.667,5.392,0.433,0.035,0.696,0.23648395753405074,0.5698579338257688,"[0.16342192956134127, 1.104936904603243, 0.4816736302576343, 2.4699629294741894, 1.9934632152432927, 2.455069167512028, 2.524118962583564, 3.036262243382065, 3.0774279769121953, 2.705661089818519, 3.7541619802799797]","[4.703270046999999, 4.672354590666666, 4.666685331333333, 4.679858542666667, 4.719398824333333, 4.955180429333333, 5.047015351333333, 5.328103836333333, 5.385461905515789, 5.390397846666667, 5.391801888]"
